title,notes

000,"«Lovely is the feelin' now
Fever, temperatures risin' now
Power (ah power) is the force of the vow… »
Erano solo le sei del mattino ma Vera Rome già guidava la sua Ford Station Wagon Country Squire e la radio trasmetteva il successo del momento «Don't Stop 'Til You Get Enough». Quel ragazzino nero indiavolato aveva quell’energia sexy che la metteva di buon umore.
«Keep on with the force don't stop
Don't stop 'til you get enough»
La bakery non era lontana da casa ma la macchina era utile per poi passare dal supermercato a fine giornata. E poi così poteva accelerare quando passava davanti la panetteria della quinta strada da dove, proprio a quell’ora, James Walter terminava il turno. Ci potevi regolare l’orologio. Alle 6:05 James era dritto sul marciapiede, in t-shirt il corpo ancora teso per il lavoro, un bell’uomo che si avvicinava ai cinquanta senza paura, con la semplicità di chi sa cosa vuole. Attraverso gli occhiali gli sguardi s'incrociavano sempre, per un istante. Con i visi immobili. Per un momento si guardavano negli occhi e sembravano passarsi il testimone della giornata. Un attimo lungo e consueto in cui anche la musica sembrava fermarsi. E poi si riprendeva veloci; lei ad aprire il negozio al pubblico, e lui a far colazione.
«Keep on with the force don't stop
Don't stop 'til you get enough»
Vera parcheggiò la vecchia Ford proprio davanti la bakery. Elsie Glatt a quell’ora era seduta attendendo di poter andar via. I forni accesi e i timer impostati, ceste di pani caldi pronti per l’esposizione e i capelli bianchi nei quali si mimetizzavano gli abbondanti residui di farina. Vera, attillata nel suo abitino prugna, si aggiustò gli occhiali, ravvivò la messa in piega e la salutò con affetto veloce. In meno di un minuto fu già dietro il bancone, pronta a battere scontrini e affascinare i clienti con i panini alla cannella, le baguette francese, l’esotico pain d'èpices. La sua bakery aveva fatto colpo nei pochi anni di apertura e aveva portato una ventata di novità nelle abitudini di Stob. Il pane non era più solo una fetta su cui spalmare il burro di arachidi… adesso era un mondo in cui cercare i propri desideri. Il suo motto era: il pane è sexy! Come Michael Jackson… come lei… come James Walter."

001,"19 agosto 1979, sera, 22:00
James Walter doveva cominciare il turno di notte nella 5th Street Bakery. Uscì di casa un po’ prima rispetto al solito per incontrarsi con suo fratello Earnest Walter.
Earnest si era laureato nel 1955 alla facoltà di legge. Aveva aperto uno studio per consulenze legali dove per alcuni anni aveva esercitato la professione di avvocato, ma vista la crisi economica che aveva investito tutto il paese dovette chiudere lo studio cominciando a lavorare come cameriere nel ristorante Quimonk. Quel giorno il suo turno era quello della cena. Finito il turno si sarebbe incontrato con James che invece cominciava il suo. James arrivò di fronte all’uscita secondaria del ristorante, lasciò il motore acceso, ammazzando il tempo leggendo la Gazzetta di Stob. Durante il week-end sarebbe uscito Rocky II, sequel del famosissimo film di Stallone che James aveva visto e rivisto mille volte insieme ai suoi figli. Nel suo tempo libero amava tirare pugni al suo sacco che gli aveva regalato la sua ormai ex moglie Barbara Weinkauf. Riusciva in questo modo a distendere i nervi e a rilassarsi dopo le fatiche del lavoro. Pensò fra sé e sé: «Sarebbe bello andare a vederlo al cinema con i miei figli… ». La porta del Quimonk si aprì lentamente ed uscì Earnest con il suo zaino sulla spalla e salì sulla macchina del fratello. James voleva parlare con Earnest della sentenza emessa dal giudice pochi giorni prima a proposito della custodia dei figli di James. Lui e la moglie Barbara si erano separati pochi anni prima e si erano scontrati per ottenere l’affidamento dei figli. Earnest vedendo il fratello straziato dal dolore gli domandò cosa fosse successo.
James con lo sguardo perso nel vuoto e gli occhi lucidi per le lacrime che si stavano accumulando gli spiegò che il processo per l’affidamento dei figli si era chiuso e che purtroppo il giudice non lo ha ritenuto nelle condizioni di poter avere in custodia i figli, e ha concesso l’affido dei figli esclusivo alla ex moglie, negandogli la possibilità di vederli.
Earnest incredulo non sapeva cosa dire, e abbracciò forte il fratello che non riuscì più a trattenersi e scoppiò in un pianto disperato.
Dopo qualche minuto James si asciugò le lacrime e, con la voce rotta dal pianto confidò al fratello le sue preoccupazioni nel non poter più vedere i suoi figli.
Il fratello tenendogli la mano sulla spalla e stringendola forte gli fece capire che se avesse avuto bisogno di qualsiasi cosa lui c’era e ci sarebbe sempre stato.
Poco dopo Earnest scese dalla macchina e si incamminò, mentre James rimise in moto la macchina e si recò al lavoro."

002,"19 agosto 1979, sera, 22:00
Dopo essersi riposato tutto il giorno, James Walter si preparò per uscire e cominciare il turno di notte nella 5th Street Bakery. Uscì di casa un po’ prima rispetto al solito perché doveva incontrarsi con suo fratello Earnest Walter.
Earnest si era laureato nel 1955 alla facoltà di legge. Aveva aperto uno studio per consulenze legali dove per alcuni anni ha esercitato la professione di avvocato, ma vista la crisi economica che ha investito tutto il paese dovette chiudere lo studio cominciando a lavorare come cameriere nel ristorante Quimonk. Quel giorno il suo turno era quello della cena. Finito il turno si sarebbe incontrato con James che invece cominciava il suo. James arrivò di fronte all’uscita secondaria del ristorante, lasciò il motore acceso ammazzando il tempo leggendo la Gazzetta di Stob. Durante il week-end sarebbe uscito Rocky II, sequel del famosissimo film di Stallone che James aveva visto e rivisto mille volte insieme ai suoi figli. Nel suo tempo libero amava tirare pugni al suo sacco che gli aveva regalato la sua ormai ex moglie Barbara Weinkauf. Riusciva in questo modo a distendere i nervi e a rilassarsi dopo le fatiche del lavoro. Pensò fra sé e sé: «Sarebbe bello andare a vederlo al cinema con i miei figli… ». La porta del Quimonk si aprì lentamente ed uscì Earnest con il suo zaino sulla spalla e salì sulla macchina del fratello. James doveva parlare con Earnest della sentenza emessa dal giudice pochi giorni prima a proposito della custodia dei figli di James. Lui e la moglie Barbara si erano separati pochi anni prima e si erano scontrati per ottenere l’affidamento dei figli. Earnest vedendo sul volto del fratello la sua preoccupazione gli chiese cosa fosse successo e di cosa gli dovesse parlare.
James dopo un sospiro di amarezza spiegò al fratello che il processo riguardante l’affidamento dei figli si era concluso e che il giudice aveva disposto per lui la possibilità di vedere i figli solo a week-end alterni.
Earnest allora abbracciò il fratello e gli mostrò il suo dispiacere.
Per James sarebbe stata dura farsene una ragione, ma ormai le cose erano andate così.
Dopo un lungo abbraccio i due si separano, Earnest salutò il fratello con una fraterna pacca sulla spalla e, dopo essere sceso dalla macchina, si incamminò, mentre James rimise in moto la macchina e si recò al lavoro."

003,"19 agosto 1979, sera, 22:00
Dopo essersi riposato tutto il giorno, James Walter si preparò per uscire e cominciare il turno di notte nella 5th Street Bakery. Uscì di casa un po’ prima rispetto al solito perché doveva incontrarsi con suo fratello Earnest Walter.
Earnest si era laureato nel 1955 alla facoltà di legge. Aveva aperto uno studio per consulenze legali dove per alcuni anni ha esercitato la professione di avvocato, ma vista la crisi economica che ha investito tutto il paese ha dovuto chiudere lo studio cominciando a lavorare come cameriere nel ristorante Quimonk. Quel giorno il suo turno era quello della cena. Finito il turno si sarebbe incontrato con James che invece cominciava il suo. James arrivò di fronte all’uscita secondaria del ristorante, lasciò il motore acceso ammazzando il tempo leggendo la Gazzetta di Stob. Durante il week-end sarebbe uscito Rocky II, sequel del famosissimo film di Stallone che James aveva visto e rivisto mille volte insieme ai suoi figli. Nel suo tempo libero amava tirare pugni al suo sacco che gli aveva regalato la sua ormai ex moglie Barbara Weinkauf. Riusciva in questo modo a distendere i nervi e a rilassarsi dopo le fatiche del lavoro. Pensò fra sé e sé: «Sarebbe bello andare a vederlo al cinema con i miei figli… ». La porta del Quimonk si aprì lentamente ed uscì Earnest con il suo zaino sulla spalla e salì sulla macchina del fratello. James doveva parlare con Earnest della sentenza emessa dal giudice pochi giorni prima a proposito della custodia dei figli di James. Lui e la moglie Barbara si erano separati pochi anni prima e si erano scontrati per ottenere l’affidamento dei figli. James era visibilmente emozionato, sprizzava gioia da tutti i pori e spiegò al fratello che finalmente il processo si era concluso. Grazie ad un lavoro di mediazione tra le due parti il giudice aveva disposto l’affidamento congiunto a James e Barbara, in quanto considerata l’opzione migliore per entrambe le parti e per il bene dei figli.
I due si abbandonarono ad un forte abbraccio di complicità e Earnest gli espresse tutta la sua felicità.
Dopodiché Earnest salutò il fratello e, dopo essere sceso dalla macchina, si incamminò, mentre James rimise in moto la macchina e si recò al lavoro."

004,"19 agosto 1979, sera, 22:00
James Walter doveva cominciare il turno di notte nella 5th Street Bakery. Uscì di casa un po’ prima rispetto al solito per incontrarsi con suo fratello Earnest Walter.
Earnest si era laureato nel 1955 alla facoltà di legge. Aveva aperto uno studio per consulenze legali dove per alcuni anni aveva esercitato la professione di avvocato, ma vista la crisi economica che aveva investito tutto il paese dovette chiudere lo studio cominciando a lavorare come cameriere nel ristorante Quimonk. Quel giorno il suo turno era quello della cena. Finito il turno si sarebbe incontrato con James che invece cominciava il suo. James arrivò di fronte all’uscita secondaria del ristorante, lasciò il motore acceso, ammazzando il tempo leggendo la Gazzetta di Stob. Durante il week-end sarebbe uscito Rocky II, sequel del famosissimo film di Stallone che James aveva visto e rivisto mille volte insieme ai suoi figli. Nel suo tempo libero amava tirare pugni al suo sacco che gli aveva regalato la sua ormai ex moglie Barbara Weinkauf. Riusciva in questo modo a distendere i nervi e a rilassarsi dopo le fatiche del lavoro. Pensò fra sé e sé: «Sarebbe bello andare a vederlo al cinema con i miei figli… ». La porta del Quimonk si aprì lentamente ed uscì Earnest con il suo zaino sulla spalla e salì sulla macchina del fratello. James voleva parlare con Earnest della sentenza emessa dal giudice pochi giorni prima a proposito della custodia dei figli di James. Lui e la moglie Barbara si erano separati pochi anni prima e si erano scontrati per ottenere l’affidamento dei figli. Earnest senza esitazioni e curioso di sapere l’esito, gli chiese come si fosse concluso il processo, e il fratello con un accenno di sorriso e gli occhi pieni di gioia gli spiegò che era riuscito ad ottenere la possibilità di vedere i figli tutti i giorni dopo la scuola e averli con sé a week-end alterni.
Earnest si congratulò col fratello, che annuì affermando che è un buon risultato e che almeno riuscirà a vedere i figli quasi tutti i giorni, rimanendo una figura costante nella lora vita. Dopodiché Earnest salutò il fratello e, dopo essere sceso dalla macchina, si incamminò, mentre James rimise in moto la macchina e si recò al lavoro."

005,"19 agosto 1979, sera, 18:00
Vera era stanca.
Alla Rome Baking c’era stato parecchio movimento quel giorno e la sola idea di dover entrare in un supermercato affollato la irritava. Aveva anche litigato con sua figlia Debra che era arrivata in ritardo di mezz’ora per sostituirla alla cassa della bakery. Da quando usciva con quel Seiler – come si chiamava? John, forse – era impossibile discutere con Debbie, si comportava come una quattordicenne alla prese con il primo amore: testarda, capricciosa e irritabile con tutti.
Vera diede un’occhiata veloce al parcheggio del supermercato: c’erano parecchie macchine e questo bastò per convincerla a non entrare neanche, dopotutto poteva tranquillamente propinare al marito e ai figli gli avanzi del giorno prima. No, decisamente non aveva voglia di fare la spesa. Girò la macchina e tornò verso il centro.
Si rese conto di desiderare una sigaretta ma si ricordò di aver fumato l’ultima dopo pranzo.
La tabaccheria in centro era ancora aperta, bene! Vera parcheggiò ed entrò nel negozietto.
«Vera!» una voce squillante risuonò per tutta la stanza. Vera si girò e vide sua sorella Barbara. «Allora, come stanno andando le cose alla bakery?» chiese Barbara stringendo fra le mani la sua tazza di tè.
«Bene! Gli affari vanno a gonfie vele e, per fortuna, quelli della 5th Street Baking non mi portano via tutti i clienti», arrossì leggermente ricordando lo sguardo di James Walter, ma la sorella non se ne accorse e attribuì quel rossore al tè troppo caldo che Vera stava sorseggiando.
«E con Edward come vanno le cose?»
«Lavora tanto, non usciamo mai e quando torna a casa spesso si addormenta sul divano senza neanche togliersi le scarpe. Poveretto, si spacca la schiena alla miniera tutto il giorno» nella sua voce si udì chiaramente una nota amara.
Le due donne stettero in silenzio per pochi secondi, guardando fuori dalla vetrina le automobili che passavano. «Mami!» squittì una vocina femminile. Vera sobbalzò e si voltò.
«Ciao Jennifer, come stai? Vieni qui ad abbracciarmi!»
«Ti abbiamo vista dalla strada, Vera. Jennifer ha insistito perché la lasciassi a te, altrimenti io l’avrei portata a casa senza problemi, però temo che non le piaccia troppo come guido, il suo viso era verde fino a un minuto fa» disse Jackie Groenke ridacchiando, teneva per mano sua figlia Kelly, una bambinetta della stessa età di Jennifer.
«Non preoccuparti, Jennifer soffre la macchina perfino quando è parcheggiata. Grazie mille per essere andato a riprenderle dal campeggio, Jackie, sei stato gentilissimo! Una sera di queste venite tutti a cena a casa mia, mi farebbe molto piacere» disse Vera sorridendogli.
«Volentieri!»
Kelly iniziò a tirare la mano del padre: voleva andare a casa. Jackie salutò Vera, Barbara, la piccola Jennifer e uscì dalla caffetteria.
«Allora Jenny, come sono andate queste due settimane di campeggio?» chiese Vera alla bambina.
Jennifer, presa da un’ondata di euforia, iniziò a raccontare tutto quello che aveva fatto al campeggio: i laboratori di creatività, le gite in montagna e le visite all’agriturismo del paese.
Aveva fatto amicizia con molte bambine della sua età e fatto tante foto per conservare questi bei ricordi.
Solo una cosa rese istantaneamente la piccola Jennifer malinconica e triste. Durante una delle gite la bambina rimase impigliata ad un ramo e il braccialetto che la nonna le aveva regalato poco prima di morire si ruppe e cadde in mille pezzi. La tristezza di Jennifer fu subito evidente agli occhi di sua madre che le diede qualche parola di conforto mentre si incamminarono verso la via di casa."

