story;engagement;coherence;rating;read_again
000,004,011,025,038,062,078,090,098,103,107;29.91;51.09;35.51;no
000,001,007,020,034,054,071,083,094,102,110;7.52;5.45;4.95;no
000,002,013,022,036,058,074,086,098,106,108;24.06;0.00;21.05;no
000,003,006,015,061,041,064;95.33;50.47;55.45;yes
000,002,007,020,035,053,067,079,094,099,110;67.32;65.36;54.68;yes
000,001,010,008,021,033,054,071,086,098,104;70.72;50.35;69.38;yes
000,001,010,008,021,033,053,070,086,097;42.48;66.34;19.61;yes
000,001,010,008,017,032,050,067,079,094,099,107;64.27;51.63;54.47;no
000,004,009,020,035,054,074,086,095,104;20.26;52.91;12.53;yes
000,003,011,022,035,056,071,086,098,106,109;37.25;25.27;32.46;no
000,004,013,024,038,062,078,090,098,105;44.23;63.40;76.47;yes
000,001,007,019,032,049,063,079,091,102,110;70.35;58.02;78.66;yes
000,002,005,008,017,032,050,067,082,091,099,107;29.69;45.00;48.37;yes
000,002,007,030,050,070,083,094,099,108;19.84;60.59;19.57;no
000,003,006,015,028,041,063,079,094,101;31.21;40.86;30.40;no
000,003,011,023,038,060,075,090,095,105;48.87;72.93;37.59;no
000,002,010,008,017,031,049,066,079,094,101;20.78;39.28;39.28;no
000,001,010,008,017,029,041,066,082,091,102,110;25.45;59.97;75.98;yes
000,004,013,022,036,056,071,083,091,100;90.96;89.00;90.74;yes
000,003,009,020,035,054,074,083,094,102,108;67.56;85.52;81.50;yes
000,002,007,020,034,053,070,083,094,101;78.15;79.76;79.76;yes
000,001,010,008,015,061,041,066,079,091,101;52.93;69.20;58.13;yes
000,002,005,008,020,034,054,074,083,091,102,110;91.23;39.10;36.84;no
000,001,010,018,031,049,066,082,094,099,108;54.79;61.65;86.45;yes
000,004,013,024,038,062,078,087,098,103,107;66.54;65.56;72.55;yes
000,002,013,025,040,062,075,090,095,103,109;53.38;26.57;17.29;yes
000,003,009,020,036,058,075,090,096;65.41;70.68;83.46;yes
000,003,012,023,037,058,074,083,091,099,109;74.05;67.97;98.04;yes
000,002,010,018,030,049,063,082,091,102,107;99.44;96.73;94.97;yes
000,002,010,021,035,053,067,079,094,101;64.17;53.58;58.57;yes
000,002,013,023,040,062,075,090,095,103,110;38.56;68.95;50.98;no
000,004,013,025,040,062,078,088;57.32;67.91;62.31;yes
000,001,010,008,017,031,052,070,083,094,102,107;63.55;66.67;62.31;yes
000,003,006,017,029,048,066,082,091,101;60.13;50.33;70.59;yes
000,002,005,015,028,041,063,082,091,101;32.03;44.77;40.52;yes
000,004,011,022,033,053,067,082,091,102,108;32.91;23.27;28.27;no
000,004,013,022,036,058,075,087,098,103,108;96.38;97.45;97.72;yes
000,002,005,008,020,034,054,071,086,098,105;100.00;100.00;50.00;yes
000,001,010,008,021,036,058,074,086,098,106,109;64.71;50.33;62.75;no
000,002,013,022,036,056,071,086,095,106,108;80.90;53.49;73.39;no
000,004,013,022,035,053,067,082,091,102,110;69.84;49.20;81.64;yes
000,004,011,022,034,054,074,086,098,106,107;40.78;52.18;55.58;no
000,004,009,018,029,048,063,079,091,101;32.28;19.41;38.98;no
000,003,009,019,031,052,070,086,098,106,108;9.12;52.82;7.77;no
000,003,012,025,038,060,075,087,098,106,109;53.59;100.00;73.86;yes
000,004,012,024,037,056,074,083,091,102,108;24.95;60.97;52.97;yes
000,004,013,023,037,058,075,087,098,103,108;51.03;54.34;100.00;yes
000,003,011,022,034,054,074,083,091,102,107;2.78;1.11;3.89;no
000,003,009,019,034,053,069;56.57;34.80;40.03;yes
000,004,012,024,037,056,074,083,094,102,107;43.74;49.31;25.76;yes
000,004,012,022,036,056,074,086,095,103,108;0.00;0.00;31.78;no
000,004,009,019,031,052,067,082,091,100;56.04;33.33;55.56;no
000,004,009,018,031,050,067,079,094,102,108;49.67;34.64;26.36;no
000,001,010,008,015,061,041,066,082,091,102,110;47.96;64.47;53.47;yes
000,004,012,025,040,062,078,090,097;1.88;18.23;1.61;no
000,001,005,008,020,033,053,070,083,094,099,108;7.80;0.00;0.00;no
000,001,010,018,031,050,067,082,091,099,108;40.52;45.98;21.83;no
000,001,010,021,034,054,071,083,094,099,110;51.91;42.86;54.10;no
000,004,013,022,035,053,067,082,094,102,109;27.96;81.98;38.46;no
000,001,005,008,020,035,053,070,086,095,106,108;49.22;52.34;55.45;no
000,002,007,020,033,053,067,079,094,099,110;25.80;21.79;33.89;yes
000,003,012,024,038,060,078,090,095,105;57.51;68.23;60.46;no
000,004,012,024,038,060,075,087,095,103,110;72.65;87.94;57.37;yes
000,004,011,022,036,058,074,086,095,106,107;64.16;71.68;74.44;yes
000,004,012,022,034,054,074,084;71.41;67.11;90.15;yes
000,004,013,022,035,053,067,079,094,102,108;79.49;59.92;88.07;yes
000,001,005,008,021,034,053,067,079,091,102,108;44.80;32.87;28.76;yes
000,001,006,016,028,048,066,082,091,099,110;74.44;64.66;62.41;yes
000,003,011,024,037,056,071,086,098,106,109;58.89;42.78;43.33;no
000,001,005,008,020,034,054,074,086,095,106,108;40.05;34.17;34.17;no
000,003,011,023,037,058,074,083,091,102,110;36.19;71.76;77.16;yes
000,003,011,022,035,053,067,082,091,102,109;18.90;20.24;48.66;no
000,004,012,023,037,058,075,090,095,103,107;69.88;69.62;80.88;yes
000,004,009,020,033,053,067,082,094,099,107;96.24;92.65;98.20;yes
000,004,009,021,035,053,067,079,092;73.86;50.49;47.71;yes
000,004,009,021,033,055;53.59;53.59;8.82;no
000,004,012,023,040,060,078,087,095,103,108;1.18;1.18;0.38;no
000,001,005,008,017,031,052,070,083,091,099,109;49.67;57.52;94.12;yes
000,003,011,025,038,060,078,087,098,103,108;71.90;66.99;81.37;no
000,004,013,022,033,054,071,085;56.86;52.94;58.17;yes
000,003,006,016,061,041,063,082,094,102,110;100.00;46.73;59.81;no
000,003,009,020,036,056,074,086,098,105;52.79;69.28;87.43;yes
000,001,010,008,017,031,052,070,086,095,104;1.74;30.16;0.94;no
000,003,009,021,034,053,067,082,094,102,110;95.95;54.21;45.48;yes
000,002,005,008,015,061,048,063,079,094,099,107;41.61;62.53;54.68;yes
000,004,013,025,040,060,075,087,097;42.49;40.35;51.88;yes
000,002,007,020,036,058,073;47.98;42.99;48.60;no
000,002,010,016,028,041,066,082,091,101;39.87;32.35;42.48;yes
000,001,005,008,021,034,053,067,082,091,099,107;35.02;62.45;61.79;yes
000,001,005,008,020,033,054,071,083,094,102,110;34.85;52.82;43.70;no
000,001,006,016,061,048,063,079,093;36.76;30.53;29.28;yes
000,002,007,020,034,053,070,083,094,102,109;31.50;36.06;38.20;no
000,002,013,022,035,054,074,083,091,099,107;32.21;30.81;15.69;no
000,004,013,025,037,058,074,086,095,105;8.78;32.60;23.46;no
000,003,009,019,029,048,066,082,091,099,109;2.80;1.96;9.80;yes
