unit,valence,arousal
000,3,0
004,3,1
011,1,1
025,0,2
038,0,1
062,1,1
078,2,0
090,2,1
098,4,1
103,4,1
107,2,2
000,0,0
001,0,0
007,0,0
020,0,0
034,0,0
054,0,0
071,0,0
083,0,0
094,0,0
102,0,0
110,0,0
000,4,0
002,0,1
013,1,1
022,1,1
036,3,1
058,1,2
074,3,1
086,1,1
098,3,1
106,3,1
108,0,1
000,4,2
003,2,1
006,2,1
015,2,1
061,1,2
041,2,2
064,4,2
000,1,0
002,1,1
007,4,1
020,0,1
035,2,1
053,0,1
067,0,1
079,0,1
094,3,1
099,1,1
110,4,1
000,2,1
001,1,1
010,2,1
008,3,1
021,2,1
033,0,2
054,0,1
071,0,1
086,1,1
098,4,1
104,0,1
000,4,1
001,1,1
010,2,1
008,3,1
021,1,0
033,0,1
053,0,1
070,0,0
086,2,0
097,2,0
000,3,1
001,1,2
010,2,1
008,3,2
017,2,2
032,3,1
050,3,2
067,2,2
079,3,2
094,3,1
099,2,1
107,3,2
000,3,0
004,3,1
009,1,1
020,1,0
035,3,1
054,1,1
074,3,1
086,2,1
095,1,1
104,1,0
000,4,0
003,4,1
011,2,1
022,2,1
035,4,1
056,0,0
071,0,0
086,0,1
098,4,1
106,2,1
109,4,1
000,4,0
004,4,0
013,2,1
024,2,1
038,0,2
062,0,2
078,3,1
090,4,2
098,4,2
105,4,0
000,3,0
001,1,1
007,4,1
019,4,1
032,3,1
049,0,2
063,0,2
079,0,2
091,0,2
102,2,1
110,4,2
000,2,0
002,1,2
005,2,2
008,4,1
017,1,2
032,2,1
050,3,2
067,1,2
082,1,1
091,1,0
099,0,1
107,2,2
000,3,0
002,0,1
007,3,0
030,0,1
050,3,1
070,0,1
083,0,1
094,1,2
099,0,1
108,2,0
000,3,0
003,3,1
006,3,1
015,1,1
028,1,1
041,1,1
063,1,1
079,1,1
094,2,1
101,2,1
000,2,1
003,4,2
011,0,2
023,1,1
038,4,2
060,0,2
075,0,1
090,4,1
095,4,1
105,3,2
000,4,1
002,1,1
010,2,1
008,1,1
017,1,2
031,3,0
049,2,1
066,2,1
079,0,1
094,1,2
101,4,1
000,3,1
001,0,2
010,1,1
008,1,2
017,1,2
029,1,2
041,0,1
066,4,1
082,3,1
091,0,2
102,2,0
110,4,1
000,2,1
004,4,0
013,4,2
022,0,2
036,4,2
056,2,1
071,0,2
083,0,2
091,0,2
100,0,2
000,2,1
003,3,1
009,1,0
020,2,1
035,3,1
054,1,2
074,3,2
083,2,1
094,1,1
102,3,2
108,2,1
000,3,1
002,3,1
007,2,2
020,0,2
034,0,1
053,0,1
070,0,1
083,1,0
094,3,1
101,4,2
000,3,1
001,1,1
010,1,2
008,0,2
015,1,2
061,2,1
041,0,2
066,4,2
079,1,2
091,2,1
101,3,2
000,4,2
002,1,0
005,2,1
008,4,2
020,0,2
034,1,1
054,0,1
074,0,2
083,4,2
091,0,0
102,4,0
110,4,2
000,3,1
001,2,1
010,2,1
018,2,1
031,4,2
049,4,2
066,4,2
082,4,2
094,4,1
099,2,1
108,0,2
000,4,1
004,2,1
013,0,1
024,0,1
038,0,1
062,0,1
078,4,2
087,0,2
098,4,1
103,2,0
107,0,2
000,3,1
002,2,1
013,2,1
025,1,2
040,1,1
062,1,2
075,2,2
090,4,2
095,2,1
103,4,2
109,4,2
000,4,2
003,4,2
009,2,2
020,2,2
036,4,2
058,2,2
075,3,2
090,2,2
