unit,valence,arousal
000,2.98,0.80
004,2.70,0.85
011,1.33,0.83
025,1.12,1.38
038,0.89,1.22
062,0.50,1.50
078,2.33,0.89
090,3.11,1.22
098,3.38,1.25
103,2.38,0.85
107,1.50,1.44
001,1.39,1.13
007,2.62,0.88
020,1.06,1.18
034,1.21,0.93
054,0.93,0.93
071,1.20,1.00
083,1.39,1.17
094,2.00,1.00
102,2.48,0.91
110,3.44,1.38
002,1.10,1.10
013,1.65,1.06
022,1.35,0.88
036,2.80,1.50
058,1.00,1.58
074,2.42,1.05
086,1.42,0.84
106,2.45,0.91
108,1.25,0.85
003,2.81,1.00
006,2.50,1.00
015,1.00,1.50
061,1.17,1.17
041,0.88,1.50
064,4.00,2.00
035,2.75,1.08
053,0.74,1.32
067,1.00,1.61
079,1.13,1.47
099,1.24,0.71
010,1.62,0.88
008,2.38,1.38
021,2.20,1.20
033,0.11,1.56
104,0.33,0.33
070,0.70,1.10
097,2.67,0.33
017,1.62,1.50
032,2.67,1.00
050,2.40,1.40
009,1.29,0.93
095,2.35,0.82
056,1.25,0.88
109,2.67,1.17
024,1.38,0.75
105,2.83,1.00
019,3.60,1.00
049,2.50,1.75
063,1.50,1.50
091,1.04,1.04
005,1.75,1.08
082,2.75,0.85
030,2.00,1.50
028,0.75,1.50
101,3.00,1.22
023,2.12,1.12
060,1.43,1.14
075,1.10,1.30
031,3.00,1.00
066,3.11,1.00
029,1.25,1.00
100,0.50,2.00
018,1.80,0.60
087,0.33,1.33
040,1.67,1.33
096,1.00,2.00
012,1.08,0.83
037,1.22,1.00
088,3.00,2.00
052,3.00,1.40
048,1.83,0.83
069,0.00,1.00
084,0.00,2.00
016,0.75,1.50
092,0.00,2.00
055,4.00,1.00
085,2.00,1.00
073,2.00,1.00
093,2.00,1.00
